# 扫地机器人+扫拖一体机器人 耗材与配件指南110条（分耗材清单/更换周期/选购建议/安装方法/配件清洁/购买渠道，覆盖滤网、边刷、主刷、拖布、电池、集尘袋等）
## 常用耗材清单（20条）
1. 扫地机器人主要耗材：边刷、主刷（滚刷）、滤网（HEPA）、拖布、电池、集尘袋（集尘机型）、水箱密封圈。
2. 边刷：负责清扫墙边墙角，磨损后清扫效果下降，是最常更换的耗材之一。
3. 主刷：分为胶刷和毛刷，磨损或变形后吸尘效果下降，宠物家庭更换更频繁。
4. 滤网（HEPA）：过滤微尘，堵塞后吸力明显下降，是影响吸尘效果的关键耗材。
5. 拖布：扫拖一体机消耗品，磨损后清洁力下降，需定期更换。
6. 电池：锂电池寿命一般2-3年或500次充放电，续航明显下降时考虑更换。
7. 集尘袋：自动集尘机型的垃圾袋，装满后更换，一般2.5-4L容量。
8. 万向轮：磨损严重时转向不灵活，部分机型可单独更换。
9. 驱动轮：一般寿命较长，出现打滑、异响时检查是否需要更换。
10. 充电触点清洁片/清洁布：用于擦拭充电触点，非必需耗材。
11. 边刷固定螺丝：边刷脱落时需更换，注意型号匹配。
12. 防撞条：长期碰撞磨损后可更换，保护机身。
13. 水箱滤芯（部分机型）：过滤水中杂质，防止堵塞水路。
14. 清洁液：拖地专用清洁液，按说明书比例使用，非原厂清洁液需确认兼容。
15. 尘盒密封圈：老化后漏灰，影响吸力和二次污染。
16. 拖布支架：长期使用磨损后可更换，保证拖布贴合。
17. 基站清洗刷：清洗基站底盘和清洗槽的辅助工具。
18. 备用滤芯/滤棉：部分机型有初效滤棉和高效滤网两层，都需定期更换。
19. 螺丝刀等拆装工具：更换耗材时使用，一般随包装附赠或自备。
20. 购买耗材前先确认机型型号，不同型号配件不通用，避免买错。
## 更换周期（25条）
21. 边刷更换周期：一般3-6个月，磨损严重（刷毛明显变短、变形）时提前更换。
22. 主刷更换周期：一般6-12个月，胶刷出现裂纹、毛刷炸毛时更换。
23. 滤网更换周期：一般3-6个月，或清洗后仍堵塞时更换，宠物家庭缩短周期。
24. 拖布更换周期：一般3-6个月，磨损、变硬、清洁力下降时更换。
25. 电池更换周期：一般2-3年，续航不足原来的50%时考虑更换。
26. 集尘袋更换周期：一般1-2个月或提示已满时更换，密封袋口防止漏灰。
27. 万向轮更换周期：出现卡顿、磨损明显时更换，一般1-2年。
